"Overlay","Filename","Overlay_Gate","Gate","Total_Events","percent_gated_cells","percent_all_cells"
1,"Cruise_NorthSea_PE477_Algae_PE477_1_7m.fcs compensated","Gate 2","Gate 17",320,0.93,0.57
1,"Cruise_NorthSea_PE477_Algae_PE477_2_7m.fcs compensated","Gate 2","Gate 17",379,0.92,0.84
1,"Cruise_NorthSea_PE477_Algae_PE477_2_15m.fcs compensated","Gate 2","Gate 17",406,0.96,0.85
1,"Cruise_NorthSea_PE477_Algae_PE477_2_30m.fcs compensated","Gate 2","Gate 17",317,0.74,0.63
1,"Cruise_NorthSea_PE477_Algae_PE477_3_7m.fcs compensated","Gate 2","Gate 17",245,1.13,0.69
1,"Cruise_NorthSea_PE477_Algae_PE477_3_15m.fcs compensated","Gate 2","Gate 17",190,1,0.61
1,"Cruise_NorthSea_PE477_Algae_PE477_3_30m.fcs compensated","Gate 2","Gate 17",118,1.14,0.7
1,"Cruise_NorthSea_PE477_Algae_PE477_4_7m.fcs compensated","Gate 2","Gate 17",181,1.92,0.98
1,"Cruise_NorthSea_PE477_Algae_PE477_4_15m.fcs compensated","Gate 2","Gate 17",77,0.48,0.4
1,"Cruise_NorthSea_PE477_Algae_PE477_4_30m.fcs compensated","Gate 2","Gate 17",65,0.57,0.48
1,"Cruise_NorthSea_PE477_Algae_PE477_5_7m.fcs compensated","Gate 2","Gate 17",703,0.59,0.42
1,"Cruise_NorthSea_PE477_Algae_PE477_5_15m.fcs compensated","Gate 2","Gate 17",741,0.62,0.44
1,"Cruise_NorthSea_PE477_Algae_PE477_5_30m.fcs compensated","Gate 2","Gate 17",310,0.82,0.58
1,"Cruise_NorthSea_PE477_Algae_PE477_6_7m.fcs compensated","Gate 2","Gate 17",123,0.12,0.1
1,"Cruise_NorthSea_PE477_Algae_PE477_6_15m.fcs compensated","Gate 2","Gate 17",122,0.12,0.1
1,"Cruise_NorthSea_PE477_Algae_PE477_6_30m.fcs compensated","Gate 2","Gate 17",95,0.32,0.26
1,"Cruise_NorthSea_PE477_Algae_PE477_7_7m_Bottle3.fcs compensated","Gate 2","Gate 17",114,0.05,0.04
1,"Cruise_NorthSea_PE477_Algae_PE477_7_7m_Bottle11.fcs compensated","Gate 2","Gate 17",171,0.07,0.06
1,"Cruise_NorthSea_PE477_Algae_PE477_7_15m.fcs compensated","Gate 2","Gate 17",141,0.06,0.05
1,"Cruise_NorthSea_PE477_Algae_PE477_7_30m.fcs compensated","Gate 2","Gate 17",148,0.08,0.07
1,"Cruise_NorthSea_PE486_Algae_PE486_1_7m.fcs compensated","Gate 2","Gate 17",67,1.19,0.61
1,"Cruise_NorthSea_PE486_Algae_PE486_1_15m.fcs compensated","Gate 2","Gate 17",103,1.53,0.78
